Fighter1,Fighter2,Weight Class,Winning Method,Round,Time,Win/Loss (Fighter1),Win Rate (Fighter 1),Total Fights (Fighter 1),Win (Fighter 1),Lose (Fighter 1),Draw (Fighter 1),SLpM (Fighter 1),Str. Acc. (Fighter 1),SApM (Fighter 1),Str. Def (Fighter 1),TD Avg. (Fighter 1),TD Acc. (Fighter 1),TD Def. (Fighter 1),Sub. Avg. (Fighter 1),Win Rate (Fighter 2),Total Fights (Fighter 2),Win (Fighter 2),Lose (Fighter 2),Draw (Fighter 2),SLpM (Fighter 2),Str. Acc. (Fighter 2),SApM (Fighter 2),Str. Def (Fighter 2),TD Avg. (Fighter 2),TD Acc. (Fighter 2),TD Def. (Fighter 2),Sub. Avg. (Fighter 2)
Michael Morales,Jake Matthews,Welterweight,U-DEC,3,5:00,Win,100%,16,16,0,0,5.28,46%,3.6,52%,1.24,41%,91%,0,73%,26,19,7,0,3.3,45%,2.56,60%,1.59,40%,62%,0.6
Chase Hooper,Jordan Leavitt,Lightweight,SUB Rear Naked Choke,1,2:58,Win,76%,17,13,3,1,4.86,51%,3.59,36%,1.42,22%,55%,2.2,79%,14,11,3,0,2.55,61%,1.84,57%,2.19,25%,30%,1.1
Payton Talbott,Nick Aguirre,Bantamweight,SUB Rear Naked Choke,3,0:58,Win,100%,8,8,0,0,8.05,54%,3.58,51%,0,0%,90%,0.5,78%,9,7,2,0,0.73,33%,2.89,45%,1.16,20%,33%,0.6
Amanda Ribas,Luana Pinheiro,Women's Strawweight,KO/TKO Punches,3,3:53,Win,71%,17,12,5,0,4.63,40%,3.4,61%,2.07,51%,85%,0.7,85%,13,11,2,0,3.89,41%,4.38,62%,2.36,40%,66%,0.3
Myktybek Orolbai,Uros Medic,Welterweight,SUB Neck Crank,2,4:12,Win,86%,14,12,1,1,0.87,40%,1.52,48%,11.41,70%,0%,1.6,82%,11,9,2,0,5.64,60%,3.18,58%,0.4,100%,46%,0
Joanderson Brito,Jonathan Pearce,Featherweight,SUB Guillotine Choke,2,3:54,Win,80%,20,16,3,1,3.32,51%,2.62,47%,3.4,75%,50%,0.8,74%,19,14,5,0,5.6,56%,3.35,55%,5.29,53%,56%,0.8
Jose Johnson,Chad Anheliger,Bantamweight,SUB Rear Naked Choke,3,4:49,Win,67%,24,16,8,0,2.8,60%,1.73,55%,0.62,50%,36%,0.6,65%,20,13,7,0,3.6,45%,3.11,53%,0.82,30%,42%,0.6
Christian Leroy Duncan,Denis Tiuliulin,Middleweight,KO/TKO Punches,2,4:24,Win,91%,11,10,1,0,5.96,62%,3.82,50%,0.45,14%,50%,0,53%,19,10,9,0,4.5,41%,6.15,36%,0,0%,73%,0
Mick Parkin,Caio Machado,Heavyweight,U-DEC,3,5:00,Win,100%,9,9,0,0,4.54,51%,3.94,59%,1.6,41%,50%,0.3,73%,11,8,2,1,6.57,64%,1.87,64%,0,0%,82%,0
Jeka Saragih,Lucas Alexander,Featherweight,KO/TKO Punch,1,1:31,Win,82%,17,14,3,0,2.76,50%,2.84,40%,2.37,100%,66%,0.6,67%,12,8,4,0,5.23,55%,1.83,71%,0,0%,57%,0
Ailin Perez,Lucie Pudilova,Women's Bantamweight,U-DEC,3,5:00,Win,82%,11,9,2,0,2.96,55%,1.18,57%,4.89,50%,75%,0,61%,23,14,9,0,3.68,37%,3.83,51%,0.55,27%,66%,0.7
Trey Ogden,Nikolas Motta,Lightweight,Overturned,3,3:11,NC,74%,23,17,6,0,3.38,47%,3.59,58%,1.64,23%,100%,0.6,74%,19,14,5,0,3.08,33%,4.78,51%,0,0%,82%,0
Rafael Estevam,Charles Johnson,Flyweight,U-DEC,3,5:00,Win,100%,12,12,0,0,2.94,64%,3.35,34%,3.35,19%,0%,0.7,70%,20,14,6,0,4.45,55%,3.15,59%,0.48,23%,63%,0.6
Alex Pereira,Jiri Prochazka,Light Heavyweight,KO/TKO Elbows,2,4:08,Win,83%,12,10,2,0,5.1,62%,3.65,50%,0.18,100%,70%,0.4,86%,35,30,4,1,5.75,56%,5.43,41%,0.79,60%,68%,0.3
Tom Aspinall,Sergei Pavlovich,Heavyweight,KO/TKO Punch,1,1:09,Win,82%,17,14,3,0,7.72,66%,2.77,66%,3.46,100%,100%,1.7,90%,20,18,2,0,8.21,48%,4.61,55%,0,0%,75%,0
Jessica Andrade,Mackenzie Dern,Women's Strawweight,KO/TKO Punch,2,3:15,Win,68%,38,26,12,0,6.62,50%,5.37,55%,2.37,55%,72%,0.3,72%,18,13,5,0,3.31,40%,4.09,51%,0.79,15%,28%,1.3
Benoit Saint Denis,Matt Frevola,Lightweight,KO/TKO Kick,1,1:31,Win,87%,15,13,2,0,5.7,54%,4.98,42%,4.76,37%,69%,1.5,69%,16,11,4,1,3.71,42%,3.57,59%,2.59,40%,42%,0.9
Diego Lopes,Pat Sabatini,Featherweight,KO/TKO Punches,1,1:30,Win,80%,30,24,6,0,3.22,58%,4.73,37%,0,0%,42%,5,78%,23,18,5,0,2.02,59%,1.54,49%,3.73,42%,50%,1.9
Steve Erceg,Alessandro Costa,Flyweight,U-DEC,3,5:00,Win,92%,13,12,1,0,4.57,48%,3.64,55%,1.69,30%,77%,0.8,76%,17,13,4,0,3.75,46%,3.61,56%,0.31,16%,90%,0
